ID,Review,Hotel_name,Hotel_Address,sentiment,area,risk_type,Traveller_Suitability,Improvement_Area,Aspect,Source
1420,the lift is sucks,Centrestage Petaling Jaya by Perfect Host,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",neutral,petaling jaya,Minor Experience Risk,Business Travellers,Overall Experience,Facilities & Amenities,agoda
1421,Good.keep it up,Centrestage Petaling Jaya by Perfect Host,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",neutral,petaling jaya,Minor Experience Risk,Business Travellers,Overall Experience,Overall Stay Experience,agoda
1422,"nothing fancy, just cheap and have convinient store downstair",Centrestage Petaling Jaya by Perfect Host,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",neutral,petaling jaya,Minor Experience Risk,Budget Travellers,Overall Experience,Price & Value,agoda
1423,Clean and peaceful stay. Courteous staff.,Centrestage Petaling Jaya by Perfect Host,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",neutral,petaling jaya,Minor Experience Risk,Business Travellers,Overall Experience,Cleanliness,agoda
1424,"Very good price. Worn out space. Single functional lift, have to wait ages to get turn. Rooms are basic, old. Bed is clean but wouldn’t say the same for toilet.",Centrestage Petaling Jaya by Perfect Host,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",neutral,petaling jaya,Minor Experience Risk,Budget Travellers,Room Comfort & Noise Control,Room & Comfort,agoda
1425,Good location and room comfortable.,Centrestage Petaling Jaya by Perfect Host,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",positive,petaling jaya,Low Risk,Business Travellers,No Major Improvement Needed,Room & Comfort,agoda
1426,"Great place, regular check on the amenities will be great",Centrestage Petaling Jaya by Perfect Host,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",positive,petaling jaya,Low Risk,Business Travellers,No Major Improvement Needed,Room & Comfort,agoda
1427,"I will never, ever go back to this hotel. I got a room that is totally different from the pictures shown on Agoda website. HUGE disappointment. Dirty room, outdated… I overheard a guest talking to the security agent who said that there were mice in his room. I totally believe it. I actually did not stay even though I had prepaid a room for 2 nights. I went somewhere else, and very happy I did.",Centrestage Petaling Jaya by Perfect Host,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",neutral,petaling jaya,Cleanliness/Hygiene Risk,Business Travellers,Cleanliness,Room & Comfort,agoda
1428,"This place is outdated with unpleasant smell from entrance to the lift and also to the level that you are going to stay. I got unit with mouldy smell. The room toilet smelly after flushing. Their terms of non refundable is no matter what happen with the unit, there will be no refund. They will give option to change the room if available. Otherwise you will stuck in the room. So better think carefully before decided to booked this place.",Centrestage Petaling Jaya by Perfect Host,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",negative,petaling jaya,Cleanliness/Hygiene Risk,Business Travellers,Cleanliness,Room & Comfort,agoda
1429,Its like a hotel room but with self check in,Centrestage Petaling Jaya by Perfect Host,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",neutral,petaling jaya,Booking/Payment Risk,Business Travellers,"Check-in, Booking & Payment Process",Staff & Service,agoda
1430,Loved everything about it. Cozy and comfy. Neat as well.,Centrestage Petaling Jaya by Perfect Host,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",positive,petaling jaya,Low Risk,Business Travellers,No Major Improvement Needed,Overall Stay Experience,agoda
1431,"Only 1 lift operate, long waiting time",Centrestage Petaling Jaya by Perfect Host,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",negative,petaling jaya,Maintenance/Facility Risk,Business Travellers,Room & Facility Maintenance,Facilities & Amenities,agoda
1432,Overall experience was good and there's convenient store at the G floor just need to be careful for the parking fees.,Centrestage Petaling Jaya by Perfect Host,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",positive,petaling jaya,Low Risk,Business Travellers,No Major Improvement Needed,Overall Stay Experience,agoda
1433,Overall good,Centrestage Petaling Jaya by Perfect Host,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",neutral,petaling jaya,Minor Experience Risk,Business Travellers,Overall Experience,Overall Stay Experience,agoda
1434,Worst experience ever. The room was too smelly. The environment was too horrible. The room was also very dusty. Even the blanket was unclean. It is clearly not recommended for someone looking for a decent room.,Centrestage Petaling Jaya by Perfect Host,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",negative,petaling jaya,Cleanliness/Hygiene Risk,Business Travellers,Cleanliness,Room & Comfort,agoda
1435,There are a lots of bugs,Centrestage Petaling Jaya by Perfect Host,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",neutral,petaling jaya,Cleanliness/Hygiene Risk,Business Travellers,Cleanliness,Overall Stay Experience,agoda
1436,"Was promised a swimming pool but swimming pool has been closed since 7 years ago? Bro why put it on description if you know that the pool has been closed 7 years ago… the whole building is looking abandoned but I’m not quite sure, every two days there would be someone stuck inside the middle lift and screamed for help, the staffs were nice but have to say that we were not allowed to leave the hotel with our reimbursement, both agoda and centerstage are pointing fingers at each other about who should be responsible then in the end, no one wants to give us our money back, bad experience… that’s all",Centrestage Petaling Jaya by Perfect Host,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",neutral,petaling jaya,Booking/Payment Risk,Leisure Travellers,"Check-in, Booking & Payment Process",Facilities & Amenities,agoda
1437,Feelsike home. ..,Centrestage Petaling Jaya by Perfect Host,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",neutral,petaling jaya,Booking/Payment Risk,Business Travellers,"Check-in, Booking & Payment Process",Overall Stay Experience,agoda
1438,excellent,Centrestage Petaling Jaya by Perfect Host,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",positive,petaling jaya,Low Risk,Business Travellers,No Major Improvement Needed,Overall Stay Experience,agoda
1439,it worth！,Centrestage Petaling Jaya by Perfect Host,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",neutral,petaling jaya,Minor Experience Risk,Business Travellers,Overall Experience,Price & Value,agoda
1440,Can say ok given the price. Rooms are clean but can be cleaner. Corridors are not the cleanest and smelly. Bit of an old facility. I paid the price in full on booking yet needed to keep a refundable deposit in cash is annoying given I didn’t carry cash and had to make a withdrawal. Difficult to access by taxis as the entrance is barricaded occasionally and exit gate is always faulty.,Centrestage Petaling Jaya by Perfect Host,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",negative,petaling jaya,Cleanliness/Hygiene Risk,Budget Travellers,Cleanliness,Booking & Payment,agoda
1441,You pay for what you get. Recommended for solo travel. If you travel with family I would suggest you to book a better hotel,Centrestage Petaling Jaya by Perfect Host,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",positive,petaling jaya,Low Risk,Family Travellers,No Major Improvement Needed,Overall Stay Experience,agoda
1442,Rent for my staff for attending training. Basic accomodations,Centrestage Petaling Jaya by Perfect Host,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",neutral,petaling jaya,Minor Experience Risk,Business Travellers,Overall Experience,Staff & Service,agoda
1443,This so-called place to stay is not suitable to stay. Major issue with the parking as the parking is super expensive and the room is too small.,Centrestage Petaling Jaya by Perfect Host,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",negative,petaling jaya,Parking/Accessibility Risk,Leisure Travellers,Parking & Accessibility,Location & Accessibility,agoda
1444,toiletries di sediakan saya suka lepas tu ada peti sejuk overall saya suka sangat,Centrestage Petaling Jaya by Perfect Host,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",neutral,petaling jaya,Minor Experience Risk,Business Travellers,Room Comfort & Noise Control,Overall Stay Experience,agoda
1445,Hotel yang cantik.besar & selesa..Harga yang berpatutan,Centrestage Petaling Jaya by Perfect Host,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",positive,petaling jaya,Low Risk,Business Travellers,No Major Improvement Needed,Overall Stay Experience,agoda
1446,Bad,Centrestage Petaling Jaya by Perfect Host,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",negative,petaling jaya,General Service Quality Risk,Business Travellers,Overall Service Quality,Overall Stay Experience,agoda
1447,"I’ve traveled extensively and this was by far one of the worst check-in experiences I’ve ever had. The host was completely unresponsive leading up to my arrival — multiple messages went ignored. Despite the standard check-in time being 3pm, I was not allowed to enter the property until 8pm with no explanation or apology. I was left waiting for hours with my luggage and no place to go. I have asked the check-in instruction since a day before but received the step by step at night on my arrival day The lack of communication, disregard for guests’ time, and total absence of professionalism made this stay incredibly stressful. Save yourself the trouble and book elsewhere. This host should not be in the hospitality business.",Centrestage Petaling Jaya by Perfect Host,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",negative,petaling jaya,Booking/Payment Risk,Business Travellers,"Check-in, Booking & Payment Process",Staff & Service,agoda
1448,Would gladly recommend,Centrestage Petaling Jaya by Perfect Host,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",positive,petaling jaya,Low Risk,Business Travellers,No Major Improvement Needed,Overall Stay Experience,agoda
1449,"worth the price, spacy room with good amneties.",Centrestage Petaling Jaya by Perfect Host,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",positive,petaling jaya,Low Risk,Budget Travellers,No Major Improvement Needed,Price & Value,agoda
1450,fantastic location and value for money,Centrestage Petaling Jaya by Perfect Host,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",positive,petaling jaya,Low Risk,Budget Travellers,No Major Improvement Needed,Price & Value,agoda
1451,All good,Centrestage Petaling Jaya by Perfect Host,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",neutral,petaling jaya,Minor Experience Risk,Business Travellers,Overall Experience,Overall Stay Experience,agoda
1452,Practically clean and convenient place to stay for short duration,Centrestage Petaling Jaya by Perfect Host,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",positive,petaling jaya,Low Risk,Business Travellers,No Major Improvement Needed,Location & Accessibility,agoda
1453,"maintenance for this hotel is bad, broken light, broken water heater, water leaking from inside toilet to outside hallway, after request for room change, the staff keep pushing me to return the room keycard while i’m outside, reason ? need to sell the room again, not sure if the room been repaired or not before selling",Centrestage Petaling Jaya by Perfect Host,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",negative,petaling jaya,Service/Staff Risk,Business Travellers,Staff Service,Room & Comfort,agoda
1454,"The room resembles a hotel, but it is actually a studio. Unfortunately, parking costs RM 3 per entry, which can be inconvenient if you need to re-enter multiple times.",Centrestage Petaling Jaya by Perfect Host,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",neutral,petaling jaya,Minor Experience Risk,Business Travellers,Room Comfort & Noise Control,Room & Comfort,agoda
1455,Very the good,Centrestage Petaling Jaya by Perfect Host,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",neutral,petaling jaya,Minor Experience Risk,Business Travellers,Overall Experience,Overall Stay Experience,agoda
1456,Recommended,Centrestage Petaling Jaya by Perfect Host,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",positive,petaling jaya,Low Risk,Business Travellers,No Major Improvement Needed,Overall Stay Experience,agoda
1457,House keeping only after you stay for one week. Ckampmy car for parking at the wrong season parking bay but refunded the fine. Staff service is not punctual waited long time even to get refund of deposit.,Centrestage Petaling Jaya by Perfect Host,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",negative,petaling jaya,Booking/Payment Risk,Business Travellers,"Check-in, Booking & Payment Process",Location & Accessibility,agoda
1458,Affordable and good location,Centrestage Petaling Jaya by Perfect Host,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",positive,petaling jaya,Low Risk,Budget Travellers,No Major Improvement Needed,Location & Accessibility,agoda
1459,its convenient and near to our place,Centrestage Petaling Jaya by Perfect Host,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",positive,petaling jaya,Low Risk,Business Travellers,No Major Improvement Needed,Location & Accessibility,agoda
1460,everything is ok except for the staff in charge who has poor communication skill,Centrestage Petaling Jaya by Perfect Host,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",negative,petaling jaya,Service/Staff Risk,Business Travellers,Staff Service,Staff & Service,agoda
1461,Probably the most unhelpful and incompetent staffs you will ever come across in your life.,Centrestage Petaling Jaya by Perfect Host,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",neutral,petaling jaya,Service/Staff Risk,Business Travellers,Staff Service,Overall Stay Experience,agoda
1462,"Nice place , easy access to every way.",Centrestage Petaling Jaya by Perfect Host,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",positive,petaling jaya,Low Risk,Business Travellers,No Major Improvement Needed,Location & Accessibility,agoda
1463,Too expensive,Centrestage Petaling Jaya by Perfect Host,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",neutral,petaling jaya,Value/Pricing Risk,Business Travellers,Price & Value,Price & Value,agoda
1464,Great value for money,Centrestage Petaling Jaya by Perfect Host,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",positive,petaling jaya,Low Risk,Budget Travellers,No Major Improvement Needed,Price & Value,agoda
1465,I like this hotel because it is very near to airport and the its super clean,Centrestage Petaling Jaya by Perfect Host,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",positive,petaling jaya,Low Risk,Business Travellers,No Major Improvement Needed,Location & Accessibility,agoda
1466,"Run down , Mold & mildew smell , Needed badly to refurbish",Centrestage Petaling Jaya by Perfect Host,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",negative,petaling jaya,Cleanliness/Hygiene Risk,Business Travellers,Cleanliness,Cleanliness,agoda
1467,Room extremely dirty!,Centrestage Petaling Jaya by Perfect Host,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",negative,petaling jaya,Cleanliness/Hygiene Risk,Business Travellers,Cleanliness,Room & Comfort,agoda
1468,There are no tissues in the room.,Centrestage Petaling Jaya by Perfect Host,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",neutral,petaling jaya,Minor Experience Risk,Business Travellers,Room Comfort & Noise Control,Room & Comfort,agoda
1469,"Nice room with hotel room facility, quite near from places I wanted to visit so it's convenient",Centrestage Petaling Jaya by Perfect Host,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",positive,petaling jaya,Low Risk,Business Travellers,No Major Improvement Needed,Location & Accessibility,agoda
1470,"Room is okay, but the elevators is really slow and only one elevator is working. And a bit misleading as a four star hotel listed in agoda? As it is more of an airbnb host . And no facility, even parking will be charge hourly",Centrestage Petaling Jaya by Perfect Host,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",neutral,petaling jaya,Booking/Payment Risk,Business Travellers,"Check-in, Booking & Payment Process",Facilities & Amenities,agoda
1471,"At 7am someone guy knock my door and he said wrong room, after that 8am same still knock my door room. Very bad experience here almost 5 times stranger knock my door and press the ring bell. Not safety for guest.",Centrestage Petaling Jaya by Perfect Host,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",negative,petaling jaya,Safety/Security Risk,Business Travellers,Safety & Security,Room & Comfort,agoda
1472,"These photos were taken by me during my stay. I requested a replacement for the stained duvet cover and bedsheet.（Picture 1) However, the ones provided were still stained.（Picture 2) Overall, it was a very disappointing experience.",Centrestage Petaling Jaya by Perfect Host,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",negative,petaling jaya,Cleanliness/Hygiene Risk,Business Travellers,Cleanliness,Overall Stay Experience,agoda
1473,Good Location and clean hotel.,Centrestage Petaling Jaya by Perfect Host,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",positive,petaling jaya,Low Risk,Business Travellers,No Major Improvement Needed,Overall Stay Experience,agoda
1474,fantastic value for money,Centrestage Petaling Jaya by Perfect Host,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",positive,petaling jaya,Low Risk,Budget Travellers,No Major Improvement Needed,Price & Value,agoda
1475,"All okay. Room big & valuable stay for 5 nights. But the parking seram sikit n so expensive. At basement parkinng rm20 for 1 night (5pm - tomorrow 7am). Rate rm10/day. But if u park at G, rate dia lagi mahal. 😁. Tapi bilik besar, cantik. cermin ada 4. All provide in the room. Good 👍🏻 recommended utk yang naik grab",Centrestage Petaling Jaya by Perfect Host,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",neutral,petaling jaya,Value/Pricing Risk,Business Travellers,Price & Value,Location & Accessibility,agoda
1476,good for everything,Centrestage Petaling Jaya by Perfect Host,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",neutral,petaling jaya,Minor Experience Risk,Business Travellers,Overall Experience,Overall Stay Experience,agoda
1477,"The room is quite clean, and having Google TV, can watch YouTube and have own WiFi. However the door already broken and lack of dustbin and indoor shoe in the room. Bathroom got provided shampoo and hair dryer (not function well).",Centrestage Petaling Jaya by Perfect Host,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",negative,petaling jaya,Maintenance/Facility Risk,Business Travellers,Room & Facility Maintenance,Room & Comfort,agoda
1478,Simple but good location,Centrestage Petaling Jaya by Perfect Host,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",neutral,petaling jaya,Minor Experience Risk,Business Travellers,Overall Experience,Location & Accessibility,agoda
1479,"Cheap and comfy. Place clean up quite well. Only 2 issues. Firstly, only 1 lift that works out of 3, so it took so long time to get up and down. Secondly, my shower head and faucet was leaking, and no hot water during shower.",Centrestage Petaling Jaya by Perfect Host,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",negative,petaling jaya,Maintenance/Facility Risk,Business Travellers,Room & Facility Maintenance,Facilities & Amenities,agoda
1480,When check in didn't mention to customer how the deposit Refund functioning when we checked out. When check out on 5.30am No staff at the front desk. Later the Hotel WhatsApp and inform the Refund will take 24 to 48 hours to credit to mu account 😠,Centrestage Petaling Jaya by Perfect Host,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",negative,petaling jaya,Booking/Payment Risk,Business Travellers,"Check-in, Booking & Payment Process",Staff & Service,agoda
1481,"Budget hotel for business, not suitable for young children",Centrestage Petaling Jaya by Perfect Host,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",neutral,petaling jaya,Minor Experience Risk,Family Travellers,Overall Experience,Overall Stay Experience,agoda
1482,The price per night is very cheap n its good ifyou planning to just use the room to sleep. Cleanliness is ok. Not recommended for families with kids. There's a Mynews convenience store in the Ground Floor along with a few F&B outlets.,Centrestage Petaling Jaya by Perfect Host,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",neutral,petaling jaya,Minor Experience Risk,Family Travellers,Room Comfort & Noise Control,Price & Value,agoda
1483,Value for money. BUT A bit rundown. Needs minor improvements.,Centrestage Petaling Jaya by Perfect Host,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",positive,petaling jaya,Low Risk,Budget Travellers,No Major Improvement Needed,Price & Value,agoda
1484,"Everything was so dusty. It was a door that separated two rooms, and you could hear everything from the room beside us.",Centrestage Petaling Jaya by Perfect Host,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",negative,petaling jaya,Cleanliness/Hygiene Risk,Business Travellers,Cleanliness,Room & Comfort,agoda
1485,Great location,Centrestage Petaling Jaya by Perfect Host,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",positive,petaling jaya,Low Risk,Business Travellers,No Major Improvement Needed,Location & Accessibility,agoda
