No.,Sentence,Sentiment,Source,Location,Confidence,Positive Score,Negative Score,Reason / Notes,Aspect(s),Risk Type(s),Traveller Suitability,Hotel Improvement Insight
225,Great and very worth for stay!,Neutral,Agoda,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",Low,0,0,Mixed/acceptable wording,General,No major risk detected,General traveller suitability,No major improvement issue detected
226,"My parents gave deposit by cash and because they checked out a bit earlier in 24th Jan (8.38 am), they still got no deposit transfered in their acc eventhough they already gave qr and acc no when asked till this day. The place is full of foreingner that stayed there.",Neutral,Agoda,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",Low,0,0,Mixed/acceptable wording,Service,Service Risk,General traveller suitability,Improve front desk/staff service training
227,okay skrg dah ada counter check in check out kat bawah..senang..depo rm100,Neutral,Agoda,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",Low,0.5,0,Mixed/acceptable wording; positive: okay,Service,Service Risk,General traveller suitability,Improve front desk/staff service training
228,"First day arrived, welcome by mosquito. We have to buy the mosquito repellent from KK mart downstairs",Neutral,Agoda,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",Low,0,0,Mixed/acceptable wording,General,No major risk detected,General traveller suitability,No major improvement issue detected
229,"According to the out door parking charges table I received, the fee is RM10 for the first 8 hours, and RM3 for every additional hour. I parked from 10:00 PM until 9:18 AM the next morning, which is a total of 11 hours. Based on the stated charges, the total should be RM19.00 (RM10 for the first 8 hours + RM9 for the additional 3 hours). However, customer service charged me RM26.00. I was informed that after 12:00 AM, the charges reset for another 8-hour block, but this condition was not stated or declared in the parking charge schedule provided.",Neutral,Agoda,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",Low,0,0,Mixed/acceptable wording,Service; Parking,Parking Risk; Service Risk,General traveller suitability,Improve parking information or parking availability; Improve front desk/staff service training
230,"Parking, u need to pay. 22 per day. Check in counter close early.",Neutral,Agoda,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",Low,0,0,Mixed/acceptable wording,Location; Service; Parking,Parking Risk; Service Risk,General traveller suitability,Improve parking information or parking availability; Improve front desk/staff service training
231,"Worth for money, most are provided, even hair dryer, iron n ironing board, but iron not working. No tea/coffee bags. Room is clean. Have 24 hours mini mart and restaurants downstairs.",Neutral,Agoda,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",Low,4.05,5.4,Mixed/acceptable wording; positive: clean; negative: not working,Cleanliness,Facility/Maintenance Risk,General traveller suitability,Improve room facilities and maintenance
232,It was decent but the place is a little away from city centre so take note. There are two malls around but other than that not much to walk around etc.,Neutral,Agoda,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",Medium,1.5,0,Mixed/acceptable wording; positive: decent,General,No major risk detected,General traveller suitability,No major improvement issue detected
233,"Staff bangla dekat reception agak tidak membantu, bilik ok, cuma lift cuma buka 1.. lambat.. lain2 ok",Neutral,Agoda,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",Low,1,0,Mixed/acceptable wording; positive: ok,Service; Facilities; Accessibility,Facility/Maintenance Risk; Service Risk,General traveller suitability,Improve room facilities and maintenance; Improve front desk/staff service training
234,TV x Boleh tgk Keadaan sekeliling x MEMUASKAN,Neutral,Agoda,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",Low,0,0,Mixed/acceptable wording,Facilities,Facility/Maintenance Risk,General traveller suitability,Improve room facilities and maintenance
235,boleh la untuk tidur2...the staff is very responsive,Neutral,Agoda,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",Low,0,0,Mixed/acceptable wording,Service,No major risk detected,General traveller suitability,No major improvement issue detected
236,All ok just need to improve cleanliness,Neutral,Agoda,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",Low,0.5,2,Mixed/acceptable wording; positive: ok; negative: need to improve,Cleanliness,Cleanliness Risk,Not ideal for cleanliness-sensitive guests,"Improve room, linen and towel cleanliness"
237,Parking not included and very expensive. overnight parking could easily cost nearly rm30. Lift is not well maintained. Waited almost 10mins for the lift and also got stucked in the lift.,Neutral,Agoda,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",Low,0,0,Mixed/acceptable wording,Facilities; Parking; Accessibility,Parking Risk; Facility/Maintenance Risk,General traveller suitability,Improve parking information or parking availability; Improve room facilities and maintenance
238,"If you are not satisifed with the room given, you can request for room change and they will be gladly to assist you.",Neutral,Agoda,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",Low,0,0,Mixed/acceptable wording,General,No major risk detected,General traveller suitability,No major improvement issue detected
239,"Service is not something you expected to experience here. It more like an INN. No proper check in counter, staff with normal clothing. Soap, shampoo, towel still available, room is clean. What you get is what you pay.",Neutral,Agoda,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",Medium,3.2,0,"Mixed/acceptable wording; positive: normal, clean",Cleanliness; Service,Cleanliness Risk; Service Risk,Not ideal for cleanliness-sensitive guests,"Improve room, linen and towel cleanliness; Improve front desk/staff service training"
240,Book for king size bed but ended up with 2 single bed combine together,Neutral,Agoda,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",Low,0,0,Mixed/acceptable wording,Comfort/Noise,No major risk detected,General traveller suitability,No major improvement issue detected
241,"One lift remains operational at all times, while the other two are kept off.",Neutral,Agoda,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",Low,0,0,Mixed/acceptable wording,Facilities; Accessibility,Facility/Maintenance Risk,General traveller suitability,Improve room facilities and maintenance
242,After a week I still dont received my deposit. The staff already acknowledge but not bank in my money.,Neutral,Agoda,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",Low,0,0,Mixed/acceptable wording,Service,Service Risk,General traveller suitability,Improve front desk/staff service training
243,"The room is not well taken care off. The building looks dodgy- no6 safe for a girl to live alone.. There was a funky smell from the bathroom, cupboards mouldy.. Better effort needs to be taken",Neutral,Agoda,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",Low,0,0,Mixed/acceptable wording,Cleanliness,Cleanliness Risk,Not ideal for cleanliness-sensitive guests,"Improve room, linen and towel cleanliness"
244,Great,Neutral,Agoda,"Persiaran Lagoon, Bandar Sunway, Kuala Lumpur, Malaysia, 47500",Low,0,0,Mixed/acceptable wording,General,No major risk detected,General traveller suitability,No major improvement issue detected
245,All in one location.,Neutral,Agoda,"Persiaran Lagoon, Bandar Sunway, Kuala Lumpur, Malaysia, 47500",Low,0,0,Mixed/acceptable wording,Location,No major risk detected,General traveller suitability,No major improvement issue detected
246,everything so easy to access only weakness is swimming pool and breakfast not located at same block. need to walk about 10 mins to another block,Neutral,Agoda,"Persiaran Lagoon, Bandar Sunway, Kuala Lumpur, Malaysia, 47500",Low,0,0,Mixed/acceptable wording,Location; Facilities; Breakfast/Food,Breakfast/Food Risk,General traveller suitability,"Improve breakfast menu, quality or service"
247,"Great Stay, thank you my taking care of my grandparents!",Neutral,Agoda,"Persiaran Lagoon, Bandar Sunway, Kuala Lumpur, Malaysia, 47500",Low,0,0,Mixed/acceptable wording,General,No major risk detected,General traveller suitability,No major improvement issue detected
248,Had a great stay for all 8 of us and hotel linked to lagoon and shopping mall. Many food options and there is Jaya Grocer. Don’t forget to try the many restaurants you will be spoilt for choice. Easy to Grab around from hotel. Can visit nearby Sunway Square mall newly opened.,Neutral,Agoda,"Persiaran Lagoon, Bandar Sunway, Kuala Lumpur, Malaysia, 47500",Low,0,0,Mixed/acceptable wording,Location; Breakfast/Food,No major risk detected,Suitable for convenience-focused travellers,No major improvement issue detected
249,"Like the breakfast so much! Great to stay when want to go shopping,watch movie and go Sunway Lagoon to swim at the same time^^",Neutral,Agoda,"Persiaran Lagoon, Bandar Sunway, Kuala Lumpur, Malaysia, 47500",Low,0,0,Mixed/acceptable wording,Location; Breakfast/Food,No major risk detected,Suitable for convenience-focused travellers,No major improvement issue detected
250,I like this hotel as it is near the sunway lagoon and of course connected to the sunway pyramid mall. Though they do not have facilities but they do share facilities with the lagoon which you can access for free and their breakfast buffet is also at the resort spa,Neutral,Agoda,"Persiaran Lagoon, Bandar Sunway, Kuala Lumpur, Malaysia, 47500",Low,0,0,Mixed/acceptable wording,Location; Breakfast/Food,No major risk detected,Suitable for convenience-focused travellers,No major improvement issue detected
251,The breakfast is not satisfied and the room is squeezing,Neutral,Agoda,"Persiaran Lagoon, Bandar Sunway, Kuala Lumpur, Malaysia, 47500",Low,0,0,Mixed/acceptable wording,Breakfast/Food,No major risk detected,General traveller suitability,No major improvement issue detected
252,100% Satisfied,Neutral,Agoda,"Persiaran Lagoon, Bandar Sunway, Kuala Lumpur, Malaysia, 47500",Low,0,0,Mixed/acceptable wording,General,No major risk detected,General traveller suitability,No major improvement issue detected
253,The shower drainer never clean. Water difficult to flow through. Mattress sunk in . Room without window with moisture smell,Neutral,Agoda,"Persiaran Lagoon, Bandar Sunway, Kuala Lumpur, Malaysia, 47500",Low,3,2,Mixed/acceptable wording; positive: clean; negative: difficult,Cleanliness; Facilities; Comfort/Noise,Cleanliness Risk; Facility/Maintenance Risk,Not ideal for cleanliness-sensitive guests,"Improve room, linen and towel cleanliness; Improve room facilities and maintenance"
254,"Car Park a bit screw out, should reserve slot for hotel guests!",Neutral,Agoda,"Persiaran Lagoon, Bandar Sunway, Kuala Lumpur, Malaysia, 47500",Low,0,0,Mixed/acceptable wording,Parking,Parking Risk,General traveller suitability,Improve parking information or parking availability
255,Good location with direct access to mall. Room is ok but the toilet does need some upgrading as it is old and dirty in some rooms. Not convenient to get to the gym and breakfast area. It is not located within the same building and you have to walk quite abit. Does not make sense for a 4 star hotel so this hotel alone does not have any facilities,Neutral,Agoda,"Persiaran Lagoon, Bandar Sunway, Kuala Lumpur, Malaysia, 47500",Low,9.55,8.1,"Mixed/acceptable wording; positive: good location, good; negative: dirty, old",Location; Cleanliness; Breakfast/Food,Cleanliness Risk,Suitable for convenience-focused travellers; Not ideal for cleanliness-sensitive guests,"Improve room, linen and towel cleanliness"
256,Aircond no cold 🥲 Need to take note and check,Neutral,Agoda,"Persiaran Lagoon, Bandar Sunway, Kuala Lumpur, Malaysia, 47500",Low,0,0,Mixed/acceptable wording,General,Facility/Maintenance Risk,General traveller suitability,Improve room facilities and maintenance
257,"There is a parking fee charges for RM15 per day for the guest to stay in Sunway Pyramid Hotel. In my opinion, the parking fee should be free for the guest who stay in this hotel.",Neutral,Agoda,"Persiaran Lagoon, Bandar Sunway, Kuala Lumpur, Malaysia, 47500",Low,0,0,Mixed/acceptable wording,Location; Parking,Parking Risk,Suitable for convenience-focused travellers,Improve parking information or parking availability
258,Great view,Neutral,Agoda,"Persiaran Lagoon, Bandar Sunway, Kuala Lumpur, Malaysia, 47500",Low,0,0,Mixed/acceptable wording,General,No major risk detected,General traveller suitability,No major improvement issue detected
259,Everything overall..,Neutral,Agoda,"Persiaran Lagoon, Bandar Sunway, Kuala Lumpur, Malaysia, 47500",Low,0,0,Mixed/acceptable wording,General,No major risk detected,General traveller suitability,No major improvement issue detected
260,"An ideal hotel to stay if you have plans to visit the theme park. If you want to head to Berjaya Square or the central part of KL, a Grab ride will get you there in less than 30mins.",Neutral,Agoda,"Persiaran Lagoon, Bandar Sunway, Kuala Lumpur, Malaysia, 47500",Low,0,0,Mixed/acceptable wording,General,No major risk detected,General traveller suitability,No major improvement issue detected
261,"Location is the best. Staff from receptionist/concierge, bellhop to housekeeping staff were all very attentive to guest needs. Even paid attention to greet us when in hallways. Nice to see that they take pride in their jobs. Slight downside is the shower area is a bit dirty from long term stains. Would also be great if there was 7/11 or FamilyMart right below (we had to cross the street for 7/11).",Neutral,Agoda,"Persiaran Lagoon, Bandar Sunway, Kuala Lumpur, Malaysia, 47500",Medium,6,4,"Mixed/acceptable wording; positive: best, nice; negative: dirty",Location; Cleanliness; Service; Facilities,Cleanliness Risk; Facility/Maintenance Risk,Not ideal for cleanliness-sensitive guests,"Improve room, linen and towel cleanliness; Improve room facilities and maintenance"
262,"Great location, but small room. Reception needs better service; more smiles and happiness. Bellboy was helpful. Parking not free; unacceptable. Hotel facilities and breakfast location far to walk.",Neutral,Agoda,"Persiaran Lagoon, Bandar Sunway, Kuala Lumpur, Malaysia, 47500",Low,6.7,8.1,"Mixed/acceptable wording; positive: great location, helpful; negative: needs better, small room",Location; Service; Comfort/Noise; Parking; Breakfast/Food,Parking Risk; Service Risk,Suitable for convenience-focused travellers,Improve parking information or parking availability; Improve front desk/staff service training
263,No working table,Neutral,Agoda,"Persiaran Lagoon, Bandar Sunway, Kuala Lumpur, Malaysia, 47500",Low,0,0,Mixed/acceptable wording,General,No major risk detected,General traveller suitability,No major improvement issue detected
264,Pros: link to sunway pyramid Cons: 1) really really hard to find a parking. 2) There is no complimentary flat rate/free parking for hotel guest,Neutral,Agoda,"Persiaran Lagoon, Bandar Sunway, Kuala Lumpur, Malaysia, 47500",Low,0,0,Mixed/acceptable wording,Location; Parking,Parking Risk,Suitable for convenience-focused travellers,Improve parking information or parking availability
265,"I'm really impressed that this hotel has a quiet zone, they accommodated to my request of high floor and quiet room. While it's nowhere as fancy or well-equipped as Sunway Resort, I appreciate the cleanliness and attentiveness of housekeeping. The fact that it's linked to the mall (many food and shopping options) made it worthwhile.",Neutral,Agoda,"Persiaran Lagoon, Bandar Sunway, Kuala Lumpur, Malaysia, 47500",Low,0,0,Mixed/acceptable wording,Location; Cleanliness; Breakfast/Food,Cleanliness Risk,Suitable for convenience-focused travellers; Not ideal for cleanliness-sensitive guests,"Improve room, linen and towel cleanliness"
266,There was very messy at the breakfast place as we need to Q up to go in the restaurant and there was too crowded in the restaurant. Some of the food stations were need to Q as well. NOT RECOMMANDED for the breakfast. Other than that everything is fine,Neutral,Agoda,"Persiaran Lagoon, Bandar Sunway, Kuala Lumpur, Malaysia, 47500",Medium,1,3.5,"Mixed/acceptable wording; positive: fine; negative: too crowded, crowded",Breakfast/Food,No major risk detected,General traveller suitability,No major improvement issue detected
267,"Toilet bowl not clean and stink , no water pipe rubber near toilet bowl . For malay , avoid this hotel . For other races maybe no problem . Others , great , many tv channel , easy access shopping , easy parking with free parking , nice staff . I would not come again bacause of the toilet bowl nightmare . Arghhhh ! Great hotel but yeahhhhh . Please look at the toilet bowl ! Got previous customers things in there !!!",Neutral,Agoda,"Persiaran Lagoon, Bandar Sunway, Kuala Lumpur, Malaysia, 47500",Low,8,7,"Mixed/acceptable wording; positive: easy access, clean; negative: not clean",Location; Cleanliness; Service; Facilities; Parking,Parking Risk; Facility/Maintenance Risk,Suitable for convenience-focused travellers,Improve parking information or parking availability; Improve room facilities and maintenance
268,Great access and walkability to shopping. Cleanliness and facilities are ok. Staff interaction were mixed,Neutral,Agoda,"Persiaran Lagoon, Bandar Sunway, Kuala Lumpur, Malaysia, 47500",Low,0.5,0,Mixed/acceptable wording; positive: ok,Cleanliness; Service,Cleanliness Risk,Not ideal for cleanliness-sensitive guests,"Improve room, linen and towel cleanliness"
269,No facilities,Neutral,Agoda,"Persiaran Lagoon, Bandar Sunway, Kuala Lumpur, Malaysia, 47500",Low,0,0,Mixed/acceptable wording,General,No major risk detected,General traveller suitability,No major improvement issue detected
270,"Complain many time , the toilet is moldy",Neutral,Agoda,"Persiaran Lagoon, Bandar Sunway, Kuala Lumpur, Malaysia, 47500",Low,0,0,Mixed/acceptable wording,General,No major risk detected,General traveller suitability,No major improvement issue detected
271,"Quick stay, simple check in and check out with no worries. Request accommodated and happy customer end of the day.",Neutral,Agoda,"Persiaran Lagoon, Bandar Sunway, Kuala Lumpur, Malaysia, 47500",Medium,0,0,Mixed/acceptable wording,Service,Service Risk,Suitable for short stay/budget travellers,Improve front desk/staff service training
272,Toilet is a lil tight and cleanliness is not up to mark.,Neutral,Agoda,"Persiaran Lagoon, Bandar Sunway, Kuala Lumpur, Malaysia, 47500",Low,0,0,Mixed/acceptable wording,Cleanliness,Cleanliness Risk,Not ideal for cleanliness-sensitive guests,"Improve room, linen and towel cleanliness"
273,Not bad with 2 breakfast. The parking is not free though unfortunately.,Neutral,Agoda,"Persiaran Lagoon, Bandar Sunway, Kuala Lumpur, Malaysia, 47500",Medium,2,4.5,"Mixed/acceptable wording; positive: not bad; negative: not free, bad",Parking; Breakfast/Food,Parking Risk; Breakfast/Food Risk,General traveller suitability,"Improve parking information or parking availability; Improve breakfast menu, quality or service"
274,Breakfast location far from hotel. Inconvenient.,Neutral,Agoda,"Persiaran Lagoon, Bandar Sunway, Kuala Lumpur, Malaysia, 47500",Low,0,0,Mixed/acceptable wording,Location; Breakfast/Food,No major risk detected,General traveller suitability,No major improvement issue detected
275,Semua ok 👍🏻 kecuali aircon dalam bilik suhu 20 degree tapi rasa macam 25-26 degree sahaja… Iron rosak 2x saya minta tukar… the 3rd one baru ok 😅 yang lain ok 👍🏻 suggestion buat PPM berkala untuk peralatan elektrik dalam bilik… 4/5 ⭐️ That’s all and TQ 😊,Neutral,Agoda,"Persiaran Lagoon, Bandar Sunway, Kuala Lumpur, Malaysia, 47500",Low,1.5,0,Mixed/acceptable wording; positive: ok,Facilities,Facility/Maintenance Risk,General traveller suitability,Improve room facilities and maintenance
276,Below my expectation,Neutral,Agoda,"Persiaran Lagoon, Bandar Sunway, Kuala Lumpur, Malaysia, 47500",Low,0,0,Mixed/acceptable wording,General,No major risk detected,General traveller suitability,No major improvement issue detected
277,"I book this hotel for business purpose in the end the date schedule last minute change, agoda not allow we change the date",Neutral,Agoda,"Persiaran Lagoon, Bandar Sunway, Kuala Lumpur, Malaysia, 47500",Low,0,0,Mixed/acceptable wording,General,No major risk detected,General traveller suitability,No major improvement issue detected
278,Good staff at reception. Other than that everything is normal,Neutral,Agoda,"Persiaran Lagoon, Bandar Sunway, Kuala Lumpur, Malaysia, 47500",Medium,2.2,0,"Mixed/acceptable wording; positive: normal, good",Service,Service Risk,General traveller suitability,Improve front desk/staff service training
279,"Clean, except the time we stay elevator is not working most of the time",Negative,Agoda,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",Medium,3,5.4,Negative indicators: not working; positive point(s): clean,Cleanliness; Facilities; Accessibility,Facility/Maintenance Risk,General traveller suitability,Improve room facilities and maintenance
280,"Too much hidden policy when checkin. Management is worst. Request safety deposit during checkin bigger than perday price. The signage is printed in A3 paper, stick here and there for direction and block, what kind of luxury is that.",Negative,Agoda,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",High,0,5,Negative indicators: worst,Service,Service Risk,General traveller suitability,Improve front desk/staff service training
281,The staff service is extremely poor Will not book again in the future at all Bad service,Negative,Agoda,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",High,0,9.5,"Negative indicators: bad service, poor, bad",Service,Service Risk,General traveller suitability,Improve front desk/staff service training
282,"Worst customer service I've ever experienced. Firstly we arrived at 4pm 1 hour after the check in timing and their room are still unavailable. Secondly, they hold a 300rm deposit on check in so they can charge you thereafter. Upon check out it will take more than half an hour, because they have to check the room to find fault and charge you for it. I was charge 200rm for a small blood stain and left over cake and balloons. Never visiting again, will not recommend to anyone too, you never know what kind of fault they'll find in order to get your money as housekeeping is not included in this seemingly prestige establishment.",Negative,Agoda,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",High,3,12,"Negative indicators: not recommend, worst, stain; positive point(s): recommend",Service,Cleanliness Risk; Service Risk,Not ideal for cleanliness-sensitive guests,"Improve room, linen and towel cleanliness; Improve front desk/staff service training"
283,"[SCAM ALERT!!!] Everything was fine until when we want to drive out from the car park. The access card was not working, and the management asked us to pay RM100 to open the gate for us, which they said they will refund us after the investigation. However, a few weeks passed, and they refused to refund us the RM100 falsely accusing us for accessing the car park with the TNG card. When we said we want to check the cctv, they said we need to be accompanied by a police to see the cctv. So, we should just buy an air tickets go back to Malaysia so we can have police to accompany us to see the cctv footage? We 100% confirmed that we didn't use any TNG card to access the card park as we don't have the TNG card! This is SCAM, be careful all travelers to KL.",Negative,Agoda,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",High,1,15.75,"Negative indicators: not working, scam; positive point(s): fine",Parking,Parking Risk; Facility/Maintenance Risk; Service Risk,General traveller suitability,Improve parking information or parking availability; Improve room facilities and maintenance; Improve front desk/staff service training
284,Very bad services,Negative,Agoda,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",High,0,11.5,"Negative indicators: bad services, very bad, bad",General,No major risk detected,General traveller suitability,No major improvement issue detected
285,"STAY AWAY! It will ruin your holidays! We had an awful experience at Deface Platinum in Kuala Lumpur. When we first arrived, the check-in process took almost two hours! It was so frustrating, and when we finally got to our room, it was infested with bed bugs. We immediately informed the staff, but instead of helping us right away, they told us we’d have to wait until the next day for a room change. This is completely unacceptable, especially considering there were also ants all over the apartment. To make things worse, the hotel demanded a hefty 500 RM deposit, which they promised to return within 30 business days after the stay. That’s an incredibly long time to wait for a refund! On top of that, we were four people, yet they only gave us one key to the entire apartment. How is that even possible? The pool area was always overcrowded, and there are restricted times to access it, requiring you to have a key to get in. This place really needs to rethink their service and facilities. I would not recommend this hotel to anyone, as my experience was nothing short of a disaster.",Negative,Agoda,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",High,8.1,16.2,"Negative indicators: would not recommend, not recommend, ants; positive point(s): recommend, top",Service; Facilities; Comfort/Noise,Cleanliness Risk; Service Risk,Not ideal for cleanliness-sensitive guests,"Improve room, linen and towel cleanliness; Improve front desk/staff service training"
286,Guard and suite staff are rude,Negative,Agoda,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",High,0,4,Negative indicators: rude,Service,Service Risk,General traveller suitability,Improve front desk/staff service training
287,Until now my deposit not yet returned.,Negative,Agoda,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",High,0,7,"Negative indicators: not yet returned, deposit not",Service,Service Risk,General traveller suitability,Improve front desk/staff service training
288,The staff is rude. Tv not working.,Negative,Agoda,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",High,0,8,"Negative indicators: not working, rude",Service; Facilities,Facility/Maintenance Risk; Service Risk,General traveller suitability,Improve room facilities and maintenance; Improve front desk/staff service training
289,"No dedicated check in counter, complicated check in process, wasted more than 30mins, then another 30mins to reparking our transport in order not to get charged for overnight parking but still we need to pay rm15 to get out from the parking because we spent more than 30mins in the building which was caused by the complicated check in process. Need to transfer another rm300 to the management account for deposit purpose. Booked a two bedrooms suite, but one of the room was locked, spend some time to open the room door too. Shower Water not hot at all, aircons for both room not working. Deposit was not refund to account immediately once u checks out. 👎🏻",Negative,Agoda,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",High,0,5.4,Negative indicators: not working,Location; Service; Facilities; Parking,Parking Risk; Facility/Maintenance Risk; Service Risk,General traveller suitability,Improve parking information or parking availability; Improve room facilities and maintenance; Improve front desk/staff service training
290,"Yes it was inexpensive but they seem to be a fly by night operation. There is really no check in desk. You are being helped by these group of women who was not helpful at all. Second, I got charge for a towel that really was old and probably stained already.",Negative,Agoda,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",High,2.7,17.55,"Negative indicators: not helpful, stained, old; positive point(s): helpful",Cleanliness; Service,Cleanliness Risk; Service Risk,Not ideal for cleanliness-sensitive guests,"Improve room, linen and towel cleanliness; Improve front desk/staff service training"
291,"This is one of the worst place to stay. The location is ok. The amenities we did not really used. The staff needs to be trained. They need to be professional, instead after we left my children saw them snickering and talking about us. They really need to get their act together. This is the worst.",Negative,Agoda,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",High,0.5,10,Negative indicators: worst; positive point(s): ok,Location; Service; Facilities,No major risk detected,General traveller suitability,No major improvement issue detected
292,"Not recommended, my first stay and will never come back.",Negative,Agoda,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",High,4,12,"Negative indicators: not recommended, never come back; positive point(s): recommended",General,No major risk detected,General traveller suitability,No major improvement issue detected
