no,sentence,sentiment,source,location,Confidence,Positive Score,Negative Score,Reason / Notes,Aspect(s),Risk Type(s),Traveller Suitability,Hotel Improvement Insight
375,- cheap - close to pavillion - toilet next to the bed - no space to open your luggage if two person share a room -toilet is old and dirty,neutral,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,high,0.41,0.44,"Mostly factual, mixed, or weak emotional wording; main topic(s): Cleanliness, Room Comfort, Value / Price.","Cleanliness, Room Comfort, Value / Price",Low Risk / Informational,Suitable for travellers who need basic accommodation and will check details before booking.,Monitor this feedback and clarify hotel information where needed.
376,"Stayed here the first time in May 2026, and totally impressed by the cleanliness of the place of stay, how well equipped it was and a facility that was free for use and 5 star level. Decided to come again in June with the family, for a week long vacation and the impression was still ever lasting! Customer service is prompt and they genuinely care to provide hospitality. Now there is a place that is so home away from home, each time I am coming back to KL!",neutral,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",medium,0,0,Mixed/acceptable wording,Cleanliness; Service; Facilities,Cleanliness Risk; Facility/Maintenance Risk; Service Risk,Not ideal for cleanliness-sensitive guests,"Improve room, linen and towel cleanliness; Improve room facilities and maintenance; Improve front desk/staff service training"
377,"Location: At KL Sentral. 1 minute walk to Monorel Station. 2 minute walk to NU Sentral Mall. 3 minutes walk to other train selection like commuter, LRT, MRT and ERL. Reception: 5/10 Breakfast: 6/10",neutral,Agoda,"Jalan Thambipillay, Kuala Lumpur Sentral, Kuala Lumpur, Malaysia, 50470",medium,0,0,Mixed/acceptable wording,Location; Service; Breakfast/Food,Service Risk,Suitable for convenience-focused travellers,Improve front desk/staff service training
378,Please give car number before check in to get QR code for parking pass,neutral,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,high,0.42,0.42,"Mostly factual, mixed, or weak emotional wording; main topic(s): Staff / Service, Facilities.","Staff / Service, Facilities",Low Risk / Informational,Suitable for travellers who need basic accommodation and will check details before booking.,Monitor this feedback and clarify hotel information where needed.
379,O.K. Still good & acceptable,neutral,Agoda,"Jalan Thambipillay, Kuala Lumpur Sentral, Kuala Lumpur, Malaysia, 50470",medium,2.5,0,"Mixed/acceptable wording; positive: acceptable, good",General,No major risk detected,General traveller suitability,No major improvement issue detected
380,Kawasan yang serabut. Cari parking serabut. Nak tunggu lif lambat dah tu panas pulak. Dpt rumah yg seram. Book 2 malam stay 1 malam je.,neutral,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",medium,0,0,Mixed/acceptable wording,Parking,Parking Risk,General traveller suitability,Improve parking information or parking availability
381,Room is so small.. Not enogh space,neutral,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,high,0.4,0.44,"Mostly factual, mixed, or weak emotional wording; main topic(s): Location, Room Comfort.","Location, Room Comfort",Low Risk / Informational,Suitable for travellers who need basic accommodation and will check details before booking.,Monitor this feedback and clarify hotel information where needed.
382,"Big and clean space but alot lacking 1. poor traffic flow at the drop off because you can only check in first, get the keys and go into the parking. if not charged rm20 if you enter straight without the access card. i guess this was my fault since i am very used to hotels validating my parking ticket 2. noisy - can hear the construction, and traffic from outside even during late hours - disturbs sleep 3. slow lift - a good 15 mins wait each time we want to use the lift 4. slow check in - staff was incompetent, slow and didnt give a good start to my trip 5. room was just odd - pillows smelled funky, lights were in odd areas eg the toilet was really dark because there was no light at the shower area, towels smelled funky too, lack of soap provided",neutral,Agoda,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",medium,8.4,9.45,"Mixed/acceptable wording; positive: clean, good; negative: can only, noisy",Cleanliness; Service; Facilities; Comfort/Noise; Parking; Accessibility,Noise Risk; Parking Risk; Facility/Maintenance Risk; Service Risk,Not suitable for light sleepers,Improve soundproofing / noise control; Improve parking information or parking availability; Improve room facilities and maintenance
383,boleh la untuk tidur2...the staff is very responsive,neutral,Agoda,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",medium,0,0,Mixed/acceptable wording,Service,No major risk detected,General traveller suitability,No major improvement issue detected
384,Tempatnta strategis kalau kita niat untuk berbisnis di kuala lumpur sebagai jastiper,neutral,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,high,0.42,0.42,"Mostly factual, mixed, or weak emotional wording; main topic(s): Value / Price.",Value / Price,Low Risk / Informational,Suitable for travellers who need basic accommodation and will check details before booking.,Monitor this feedback and clarify hotel information where needed.
385,Sublina,neutral,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,high,0.42,0.42,"Mostly factual, mixed, or weak emotional wording; main topic(s): General Experience.",General Experience,Low Risk / Informational,Suitable for travellers who need basic accommodation and will check details before booking.,Monitor this feedback and clarify hotel information where needed.
386,"Suitable for solo travelers with a low budget and lively location. The hotel location is a bit difficult to find even with Google Maps. In my room, I found that the TV was broken, and the toilet couldn’t flush fully, causing waste to stagnate. Overall, it’s low-budget and the location is excellent. Facilities need to be improved for complete comfort.",neutral,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,high,0.41,0.44,"Mostly factual, mixed, or weak emotional wording; main topic(s): Cleanliness, Location, Facilities, Room Comfort, Value / Price.","Cleanliness, Location, Facilities, Room Comfort, Value / Price",Low Risk / Informational,Suitable for travellers who need basic accommodation and will check details before booking.,Monitor this feedback and clarify hotel information where needed.
387,"Quick stay, simple check in and check out with no worries. Request accommodated and happy customer end of the day.",neutral,Agoda,"Persiaran Lagoon, Bandar Sunway, Kuala Lumpur, Malaysia, 47500",medium,0,0,Mixed/acceptable wording,Service,Service Risk,Suitable for short stay/budget travellers,Improve front desk/staff service training
388,Everything is okey staff are friendly Name syafiqah,neutral,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,high,0.44,0.4,"Mostly factual, mixed, or weak emotional wording; main topic(s): Staff / Service.",Staff / Service,Low Risk / Informational,Suitable for travellers who need basic accommodation and will check details before booking.,Monitor this feedback and clarify hotel information where needed.
389,I like this hotel as it is near the sunway lagoon and of course connected to the sunway pyramid mall. Though they do not have facilities but they do share facilities with the lagoon which you can access for free and their breakfast buffet is also at the resort spa,neutral,Agoda,"Persiaran Lagoon, Bandar Sunway, Kuala Lumpur, Malaysia, 47500",medium,0,0,Mixed/acceptable wording,Location; Breakfast/Food,No major risk detected,Suitable for convenience-focused travellers,No major improvement issue detected
390,"Basically overall is ok, only speed for hotel lift is a bite slow and check in time is late..after 3 pm only allow to check in",neutral,Agoda,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",medium,0.5,0,Mixed/acceptable wording; positive: ok,Service; Facilities; Accessibility,Facility/Maintenance Risk; Service Risk,General traveller suitability,Improve room facilities and maintenance; Improve front desk/staff service training
391,Sabrina and lahim,neutral,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,high,0.42,0.42,"Mostly factual, mixed, or weak emotional wording; main topic(s): General Experience.",General Experience,Low Risk / Informational,Suitable for travellers who need basic accommodation and will check details before booking.,Monitor this feedback and clarify hotel information where needed.
392,Good job for Sabrina,neutral,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,high,0.44,0.4,"Mostly factual, mixed, or weak emotional wording; main topic(s): General Experience.",General Experience,Low Risk / Informational,Suitable for travellers who need basic accommodation and will check details before booking.,Monitor this feedback and clarify hotel information where needed.
393,I booking family room 3 bedroom. Staf said that room cannot smoking room but when i enter that room the whole room smelled of cigarette and when i checkout the stay ask me to pay 200 because that smell.,neutral,Agoda,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",medium,0,0,Mixed/acceptable wording,Cleanliness,Cleanliness Risk,Not ideal for cleanliness-sensitive guests,"Improve room, linen and towel cleanliness"
394,Surprised that the hotel has a smart TV for its price. The queen room is sufficient for Solo Travelers but may be a bit squeezy for Pairs as there are no additional movement room. Convenience is a plus. May not be suitable for people with leg issues hotel is accessed through a flight of stairs.,neutral,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,high,0.42,0.42,"Mostly factual, mixed, or weak emotional wording; main topic(s): Location, Facilities, Room Comfort, Value / Price.","Location, Facilities, Room Comfort, Value / Price",Low Risk / Informational,Suitable for travellers who need basic accommodation and will check details before booking.,Monitor this feedback and clarify hotel information where needed.
395,Below my expectation,neutral,Agoda,"Persiaran Lagoon, Bandar Sunway, Kuala Lumpur, Malaysia, 47500",medium,0,0,Mixed/acceptable wording,General,No major risk detected,General traveller suitability,No major improvement issue detected
396,"Overall ok. Location in the heart of Bukit Bintang. Room a bit small and not enough space to pray . Water tremendously great. Other than that it is ok for short stay. Quite noisy at night but everyone know when it is public holiday or weekend, environment in Bukit Bintang is hype.",neutral,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,high,0.41,0.44,"Mostly factual, mixed, or weak emotional wording; main topic(s): Location, Facilities, Room Comfort.","Location, Facilities, Room Comfort",Low Risk / Informational,Suitable for travellers who need basic accommodation and will check details before booking.,Monitor this feedback and clarify hotel information where needed.
397,Unexpected..Price murah tapi sgt cantik. Bilik level 11 mmg view cntik. Kna chck out sblm jam 12 if smbung ada chrges sebanyak RM 50. 1.10 minit je akan ada trus chrges no 2.. so total su bayar RM 100. So take note ye guys.. overall ok..,neutral,Agoda,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",medium,2.5,0,"Mixed/acceptable wording; positive: murah, ok",General,No major risk detected,General traveller suitability,No major improvement issue detected
398,Late ch,neutral,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,high,0.4,0.44,"Mostly factual, mixed, or weak emotional wording; main topic(s): General Experience.",General Experience,Low Risk / Informational,Suitable for travellers who need basic accommodation and will check details before booking.,Monitor this feedback and clarify hotel information where needed.
399,"The room was okay, though Netflix couldn't be used and TV just got some technical issues. I had to pay RM100 just 3 mins late during checkout. There was no negotiation whatsoever.",neutral,Agoda,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",medium,0.5,0,Mixed/acceptable wording; positive: okay,Facilities,Facility/Maintenance Risk,General traveller suitability,Improve room facilities and maintenance
400,All in one location.,neutral,Agoda,"Persiaran Lagoon, Bandar Sunway, Kuala Lumpur, Malaysia, 47500",medium,0,0,Mixed/acceptable wording,Location,No major risk detected,General traveller suitability,No major improvement issue detected
401,100% Satisfied,neutral,Agoda,"Persiaran Lagoon, Bandar Sunway, Kuala Lumpur, Malaysia, 47500",medium,0,0,Mixed/acceptable wording,General,No major risk detected,General traveller suitability,No major improvement issue detected
402,I called multiple times to ensure the room was confirmed ... but unfortunately we did not get the room we asked for even after the staffs mentioned the rooms were confirmed. However we got an upgrade.,neutral,Agoda,"Jalan Thambipillay, Kuala Lumpur Sentral, Kuala Lumpur, Malaysia, 50470",medium,0,0,Mixed/acceptable wording,General,No major risk detected,General traveller suitability,No major improvement issue detected
403,"Couple of time water supply, automatic off Air condition not working properly water heater also not working properly to the best before book the room, go up and see the room fast",neutral,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,high,0.43,0.43,"Mostly factual, mixed, or weak emotional wording; main topic(s): Facilities, Room Comfort.","Facilities, Room Comfort",Low Risk / Informational,Suitable for travellers who need basic accommodation and will check details before booking.,Monitor this feedback and clarify hotel information where needed.
404,Very easy to go everywhere but lack of parking 😅 there have busking and so many place to walk as sungai Wang low yat and near to pavilion also,neutral,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,high,0.44,0.4,"Mostly factual, mixed, or weak emotional wording; main topic(s): Location, Facilities.","Location, Facilities",Low Risk / Informational,Suitable for travellers who need basic accommodation and will check details before booking.,Monitor this feedback and clarify hotel information where needed.
405,"Bathroom were not that clean, bidet malfunction, tv channels not functioning and aircold was not that cooling",neutral,Agoda,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",medium,3,4,Mixed/acceptable wording; positive: clean; negative: not functioning,Cleanliness; Facilities,Facility/Maintenance Risk,General traveller suitability,Improve room facilities and maintenance
406,Nearest bukit bintang🫰,neutral,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,high,0.42,0.42,"Mostly factual, mixed, or weak emotional wording; main topic(s): Location.",Location,Low Risk / Informational,Suitable for travellers who need basic accommodation and will check details before booking.,Monitor this feedback and clarify hotel information where needed.
407,"Cheap clean cozi and center of city,Happing is all around and Monorail station is 100 feet far,But please check when u book Grab ,it will take to another location when u go by 83,better punch in swing &pillow bukit bintang",neutral,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,high,0.46,0.39,"Mostly factual, mixed, or weak emotional wording; main topic(s): Cleanliness, Location, Value / Price.","Cleanliness, Location, Value / Price",Low Risk / Informational,Suitable for travellers who need basic accommodation and will check details before booking.,Monitor this feedback and clarify hotel information where needed.
408,The breakfast is not satisfied and the room is squeezing,neutral,Agoda,"Persiaran Lagoon, Bandar Sunway, Kuala Lumpur, Malaysia, 47500",medium,0,0,Mixed/acceptable wording,Breakfast/Food,No major risk detected,General traveller suitability,No major improvement issue detected
409,"Saya setiap kali jika travel ke KL akan menginap disini kerana berhampiran dengan banyak kemudahan seperti pengangkutan, Mall dan kedai makan. Hotel ini jugak lebih pravicy",neutral,Agoda,"Jalan Thambipillay, Kuala Lumpur Sentral, Kuala Lumpur, Malaysia, 50470",medium,0,0,Mixed/acceptable wording,Location,No major risk detected,General traveller suitability,No major improvement issue detected
410,Everything was ok except there was a foul drainage smell in the room that cant be gotten rid of and also fresh renovation smell,neutral,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",medium,0.5,0,Mixed/acceptable wording; positive: ok,Cleanliness,Cleanliness Risk,Not ideal for cleanliness-sensitive guests,"Improve room, linen and towel cleanliness"
411,"tiada tempat nak parking, sangat sunyi, tidak mesra alam",neutral,Agoda,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",medium,0,0,Mixed/acceptable wording,Parking,Parking Risk,General traveller suitability,Improve parking information or parking availability
412,"Located directly in the center, it’s perfect for two nights for that price, even if it’s loud and not too clean.",neutral,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,high,0.46,0.39,"Mostly factual, mixed, or weak emotional wording; main topic(s): Cleanliness, Value / Price.","Cleanliness, Value / Price",Low Risk / Informational,Suitable for travellers who need basic accommodation and will check details before booking.,Monitor this feedback and clarify hotel information where needed.
413,Book for king size bed but ended up with 2 single bed combine together,neutral,Agoda,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",medium,0,0,Mixed/acceptable wording,Comfort/Noise,No major risk detected,General traveller suitability,No major improvement issue detected
414,"Easy access to kL Sentral, easy to catch 1st morning flight. Room is very basic suitable for solo traveller",neutral,Agoda,"Jalan Thambipillay, Kuala Lumpur Sentral, Kuala Lumpur, Malaysia, 50470",medium,3,0,Mixed/acceptable wording; positive: easy access,General,No major risk detected,Suitable for convenience-focused travellers,No major improvement issue detected
415,"per entry need rm 6, if you're going out frequently, u will be charge everytime u enter ur hotel",neutral,Agoda,"Jalan Thambipillay, Kuala Lumpur Sentral, Kuala Lumpur, Malaysia, 50470",medium,0,0,Mixed/acceptable wording,General,No major risk detected,General traveller suitability,No major improvement issue detected
416,Great view,neutral,Agoda,"Persiaran Lagoon, Bandar Sunway, Kuala Lumpur, Malaysia, 47500",medium,0,0,Mixed/acceptable wording,General,No major risk detected,General traveller suitability,No major improvement issue detected
417,There was very messy at the breakfast place as we need to Q up to go in the restaurant and there was too crowded in the restaurant. Some of the food stations were need to Q as well. NOT RECOMMANDED for the breakfast. Other than that everything is fine,neutral,Agoda,"Persiaran Lagoon, Bandar Sunway, Kuala Lumpur, Malaysia, 47500",medium,1,3.5,"Mixed/acceptable wording; positive: fine; negative: too crowded, crowded",Breakfast/Food,No major risk detected,General traveller suitability,No major improvement issue detected
418,"I was supposed to get a deluxe room, but when I wanted to check in, the hotel staff told me there was a problem with the deluxe room and I was given a standard room. they said tomorrow we can move the room, but when I asked the morning shift staff about this, she didn't seem to know anything. I am very dissatisfied with the service provided. the standard room is very narrow and I don't think it's worth the price given. I will not promote this hotel to anyone.",neutral,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,high,0.42,0.42,"Mostly factual, mixed, or weak emotional wording; main topic(s): Staff / Service, Room Comfort, Value / Price.","Staff / Service, Room Comfort, Value / Price",Low Risk / Informational,Suitable for travellers who need basic accommodation and will check details before booking.,Monitor this feedback and clarify hotel information where needed.
419,"Because of the location we stay there, need make improvement",neutral,Agoda,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",medium,0,0,Mixed/acceptable wording,Location,No major risk detected,General traveller suitability,No major improvement issue detected
420,For short stay n rest definitely ok because the location was on main road... shopping malls around the corner... restaurants Muslim Chinese as well. Night time really happening because they was a life band performance. I booked double bed a bit small,neutral,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,high,0.4,0.44,"Mostly factual, mixed, or weak emotional wording; main topic(s): Location, Room Comfort.","Location, Room Comfort",Low Risk / Informational,Suitable for travellers who need basic accommodation and will check details before booking.,Monitor this feedback and clarify hotel information where needed.
421,okay skrg dah ada counter check in check out kat bawah..senang..depo rm100,neutral,Agoda,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",medium,0.5,0,Mixed/acceptable wording; positive: okay,Service,Service Risk,General traveller suitability,Improve front desk/staff service training
422,"The condition has gotten bad.. they have stopped self service laundry, that's why I wouldn't want to come back",neutral,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,high,0.4,0.44,"Mostly factual, mixed, or weak emotional wording; main topic(s): Staff / Service.",Staff / Service,Low Risk / Informational,Suitable for travellers who need basic accommodation and will check details before booking.,Monitor this feedback and clarify hotel information where needed.
423,For those find a budget hotel can choose here ✅,neutral,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,high,0.42,0.42,"Mostly factual, mixed, or weak emotional wording; main topic(s): Value / Price.",Value / Price,Low Risk / Informational,Suitable for travellers who need basic accommodation and will check details before booking.,Monitor this feedback and clarify hotel information where needed.
424,Good Hotel & nearest to restaurant/food stall for breakfast lunch and dinner.,neutral,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,high,0.44,0.4,"Mostly factual, mixed, or weak emotional wording; main topic(s): Location.",Location,Low Risk / Informational,Suitable for travellers who need basic accommodation and will check details before booking.,Monitor this feedback and clarify hotel information where needed.
425,"When the company employed a foreigner as a frontrunner, we looked not good for Malaysia's image as a country full of respect and appreciation for others.",neutral,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,high,0.44,0.4,"Mostly factual, mixed, or weak emotional wording; main topic(s): General Experience.",General Experience,Low Risk / Informational,Suitable for travellers who need basic accommodation and will check details before booking.,Monitor this feedback and clarify hotel information where needed.
426,Good place to stay all restaurant near by for 2 nights can stay,neutral,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,high,0.44,0.4,"Mostly factual, mixed, or weak emotional wording; main topic(s): Location.",Location,Low Risk / Informational,Suitable for travellers who need basic accommodation and will check details before booking.,Monitor this feedback and clarify hotel information where needed.
427,"Resinable price, strategic location, clean, but its noise until late night",neutral,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,high,0.47,0.4,"Mostly factual, mixed, or weak emotional wording; main topic(s): Cleanliness, Location, Room Comfort, Value / Price.","Cleanliness, Location, Room Comfort, Value / Price",Low Risk / Informational,Suitable for travellers who need basic accommodation and will check details before booking.,Monitor this feedback and clarify hotel information where needed.
428,ໄປເຊັກອິນງົງກັບການທຳງານແຮງ ແບບ ໂຮງແຮມປ້າຍກໍປ່ຽນສະຖານທີ່ກໍປ່ຽນບໍ່ຮູ້ວ່າຢູ່ຈຸດໃດ ໃນແຜນທີ່ລະເປັນຮູບເກົ່າຕິດປ້າຍຢ່າງໃຫຍ່ ບາດປັດຈຸບັນບໍ່ມີປ້າຍຫຍັງເລີຍ ຄືຂ້ອຍຍ່າງຫຼົງເຂົ້າຮ້ານຂາຍເຄື່ອງຮ້ານໜຶ່ງເຊິ່ງໝຸດມັນຢູ່ຫັ້ນ ສະຫຼຸບບໍ່ແມ່ນ ໄດ້ຖາມຄົນໃນຮ້ານຫັ້ນເອົາ ລະທາງເຂົ້າຫ້ອງກໍເປັນປະຕູນ້ອຍໆ ເບິ່ງຈົນບໍ່ອອກເລີຍ ຕິດເຈ້ຍນ້ອຍໆໃສ່ປະຕູວ່າຕ້ອງໄປເຊັກອິນອີກຟາກທາງໜຶ່ງ ອີກຟາກກໍງົງຄືກັນ ແຕ່ກໍໂອເຄ ຜ່ານມາໄດ້ ຖາມຄົນແຖວນັ້ນເອົາ ເວົ້າເລື່ອງຄວາມປອດໄພແມ່ນໂອເຄເລີຍ ຕ້ອງມີຄີກາດທັງທາງເຂົ້າໂຮງແຮມແລະຫ້ອງນອນມີຄີກາດແຍກກັນ ສະແກນເຂົ້າຈຶ່ງໄດ້ ແລະ ສະຖານທີ່ຄືໃກ້ກັບຫ້າງຫຼາຍໆແຫ່ງ ໃກ້ກັບຕຶກແຝດ ໃກ້ກັບຕຶກນັ້ນນີ້ທີ່ໂຄດດັງເລີຍ ຍ່າງໄດ້ໝົດ ບໍ່ເກີນ10ກິໂລ ຊິວໆ ແຕ່ຖ້າກາງເວັນແມ່ນຮ້ອນ ພົກພັດລົມພົກພາໄປນຳ ກາງຄືນກໍບໍ່ເປັນຕາຢ້ານມີຄົນຕະຫຼອດ ກາງຄືນເຢັນດີ ສ່ວນຫ້ອງມີໄມ້ສີຟັນ ຢາສີຟັນ ສະບູ ຜ້າເຊັດໃຫ້ ສະດວກພໍສົມຄວນແຕ່ບໍ່ສະອາດປານນັ້ນ ຜ້າເຊັດມີຄາບຮອຍເກົ່າຈຸດໜຶ່ງ,neutral,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,high,0.42,0.42,"Mostly factual, mixed, or weak emotional wording; main topic(s): General Experience.",General Experience,Low Risk / Informational,Suitable for travellers who need basic accommodation and will check details before booking.,Monitor this feedback and clarify hotel information where needed.
429,Very bad,neutral,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,high,0.4,0.44,"Mostly factual, mixed, or weak emotional wording; main topic(s): General Experience.",General Experience,Low Risk / Informational,Suitable for travellers who need basic accommodation and will check details before booking.,Monitor this feedback and clarify hotel information where needed.
430,Beware! Your privacy might be intruded by spy cam..etc. Beware! Your health might be endanger by unhygienic room condition such as fungus..etc,neutral,Agoda,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",medium,0,0,Mixed/acceptable wording,General,No major risk detected,General traveller suitability,No major improvement issue detected
431,Not quite satisfied with the facilities in the room.,neutral,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,high,0.44,0.4,"Mostly factual, mixed, or weak emotional wording; main topic(s): Room Comfort.",Room Comfort,Low Risk / Informational,Suitable for travellers who need basic accommodation and will check details before booking.,Monitor this feedback and clarify hotel information where needed.
432,Be prepared to pay extra bucks for the parking only. Spent almost 100 bucks just for parking for 1 day,neutral,Agoda,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",medium,0,0,Mixed/acceptable wording,Parking,Parking Risk,General traveller suitability,Improve parking information or parking availability
433,"Bed was lousy, sleep with metal spring felt, outside sound is hearable into the room.",neutral,Agoda,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",medium,0,0,Mixed/acceptable wording,Comfort/Noise,No major risk detected,General traveller suitability,No major improvement issue detected
434,After a week I still dont received my deposit. The staff already acknowledge but not bank in my money.,neutral,Agoda,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",medium,0,0,Mixed/acceptable wording,Service,Service Risk,General traveller suitability,Improve front desk/staff service training
435,It was decent but the place is a little away from city centre so take note. There are two malls around but other than that not much to walk around etc.,neutral,Agoda,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",medium,1.5,0,Mixed/acceptable wording; positive: decent,General,No major risk detected,General traveller suitability,No major improvement issue detected
436,"Good environment, nearby eating places and also 24-hour ATM with Mynews & kkmart all at level G .but unfortunately only 1 not good haha parking must to pay by rate .overall recommended",neutral,Agoda,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",medium,10.1,8.1,"Mixed/acceptable wording; positive: good, recommended; negative: not good",Parking,Parking Risk,General traveller suitability,Improve parking information or parking availability
437,Everything overall..,neutral,Agoda,"Persiaran Lagoon, Bandar Sunway, Kuala Lumpur, Malaysia, 47500",medium,0,0,Mixed/acceptable wording,General,No major risk detected,General traveller suitability,No major improvement issue detected
438,So good place... Their receptionist Sabrina helped a lot ..,neutral,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,high,0.44,0.4,"Mostly factual, mixed, or weak emotional wording; main topic(s): Staff / Service.",Staff / Service,Low Risk / Informational,Suitable for travellers who need basic accommodation and will check details before booking.,Monitor this feedback and clarify hotel information where needed.
439,nazeem was good recepsionist,neutral,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,high,0.44,0.4,"Mostly factual, mixed, or weak emotional wording; main topic(s): General Experience.",General Experience,Low Risk / Informational,Suitable for travellers who need basic accommodation and will check details before booking.,Monitor this feedback and clarify hotel information where needed.
440,You may find this hotel between the massage pcae and kedai runcit. The door is black color,neutral,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,high,0.42,0.42,"Mostly factual, mixed, or weak emotional wording; main topic(s): Facilities.",Facilities,Low Risk / Informational,Suitable for travellers who need basic accommodation and will check details before booking.,Monitor this feedback and clarify hotel information where needed.
441,The toilet is dirty.,neutral,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,high,0.4,0.44,"Mostly factual, mixed, or weak emotional wording; main topic(s): Cleanliness.",Cleanliness,Low Risk / Informational,Suitable for travellers who need basic accommodation and will check details before booking.,Monitor this feedback and clarify hotel information where needed.
